Link Name,Site Name A,Site Name B,Latitude A,Longitude A,Latitude B,Longitude B,Device Type A,Device Type B,Elevation A,Elevation B,Mount Height A,Mount Height B,Tx Power 1,Tx Power 2,Center Frequency 1,Center Frequency 2,Antenna Gain A,Antenna Gain B,Channel Width,Rain Reliability,Link Distance,Fresnel Obstr,FSPL,RSSI,SNR,EIRP,PHY Rate,Aggr IP
Reitoria RadioA to IFCE Caucaia RadioB,Reitoria,IFCE Caucaia,-3.750853,-38.538611,-3.730908,-38.672407,B5c,B5c,22.65,30.56,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,15.03km,0%,-131.18,-32.32,50.35,64.00,867,693
IFCE Caucaia RadioA to Rep1 RadioB,IFCE Caucaia,Rep1,-3.730908,-38.672407,-3.694786,-38.771031,B5c,B5c,30.56,368.89,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,11.67km,0%,-128.98,-30.09,52.60,64.00,867,693
Rep1 RadioA to IFCE Pecém RadioB,Rep1,IFCE Pecém,-3.694786,-38.771031,-3.658208,-38.857189,B5c,B5c,368.89,38.35,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,10.40km,0%,-127.98,-29.08,53.63,64.00,867,693
IFCE Pecém RadioA to Rep2 RadioB,IFCE Pecém,Rep2,-3.658208,-38.857189,-3.535964,-38.946448,B5c,B5c,38.35,21.24,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,16.84km,0%,-132.17,-33.33,49.40,64.00,867,693
Rep2 RadioA to Rep3 RadioB,Rep2,Rep3,-3.535964,-38.946448,-3.505597,-39.019940,B5c,B5c,21.24,29.79,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,8.84km,0%,-126.57,-27.65,55.00,64.00,867,693
Rep3 RadioA to IFCE Paracuru RadioB,Rep3,IFCE Paracuru,-3.505597,-39.019940,-3.444901,-39.041247,B5c,B5c,29.79,30.00,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,7.16km,0%,-124.74,-25.81,56.76,64.00,867,693
IFCE Paracuru RadioA to Rep4 RadioB,IFCE Paracuru,Rep4,-3.444901,-39.041247,-3.386003,-39.306287,B5c,B5c,30.00,61.07,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,30.17km,0%,-137.23,-38.52,44.06,64.00,867,693
Rep4 RadioA to Rep5 RadioB,Rep4,Rep5,-3.386003,-39.306287,-3.427113,-39.488691,B5c,B5c,61.07,65.37,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,20.78km,0%,-133.99,-35.19,47.40,64.00,867,693
Rep5 RadioA to IFCE Itapipoca RadioB,Rep5,IFCE Itapipoca,-3.427113,-39.488691,-3.486074,-39.570770,B5c,B5c,65.37,105.27,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,11.24km,0%,-128.65,-29.76,52.83,64.00,867,693
IFCE Itapipoca RadioA to Rep6 RadioB,IFCE Itapipoca,Rep6,-3.486074,-39.570770,-3.528914,-39.553394,B5c,B5c,105.27,724.28,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,5.15km,0%,-121.87,-22.91,59.68,64.00,867,693
Rep6 RadioA to Rep7 RadioB,Rep6,Rep7,-3.528914,-39.553394,-3.552532,-39.476649,B5c,B5c,724.28,89.22,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,8.92km,0%,-126.65,-27.73,54.86,64.00,867,693
Rep7 RadioA to Rep8 RadioB,Rep7,Rep8,-3.552532,-39.476649,-3.634844,-39.432703,B5c,B5c,89.22,107.18,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,10.38km,0%,-127.97,-29.10,53.19,64.00,867,693
Rep8 RadioA to IFCE Umirim RadioB,Rep8,IFCE Umirim,-3.634844,-39.432703,-3.687603,-39.343963,B5c,B5c,107.18,74.38,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,11.48km,0%,-128.84,-29.99,52.31,64.00,867,693
